"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
,"059E","Power_PV9","U16","0,01","kW",,,"R","No. 9 PV power","End user",,0
,"059F","Voltage_PV10","U16","0,1","V",,,"R","No. 10 PV voltage","End user",,0
,"05A0","Current_PV10","U16","0,01","A",,,"R","No. 10 PV current","End user",,0
,"05A1","Power_PV10","U16","0,01","kW",,,"R","No. 10 PV power","End user",,0
,"05A2","Voltage_PV11","U16","0,1","V",,,"R","11th PV voltage","End user",,0
,"05A3","Current_PV11","U16","0,01","A",,,"R","11th PV current","End user",,0
,"05A4","Power_PV11","U16","0,01","kW",,,"R","11th PV power","End user",,0
,"05A5","Voltage_PV12","U16","0,1","V",,,"R","12th PV voltage","End user",,0
,"05A6","Current_PV12","U16","0,01","A",,,"R","12th PV current","End user",,0
,"05A7","Power_PV12","U16","0,01","kW",,,"R","12th PV power","End user",,0
,"05A8","Voltage_PV13","U16","0,1","V",,,"R","13th PV voltage","End user",,0
,"05A9","Current_PV13","U16","0,01","A",,,"R","13th PV current","End user",,0
,"05AA","Power_PV13","U16","0,01","kW",,,"R","13th PV power","End user",,0
,"05AB","Voltage_PV14","U16","0,1","V",,,"R","No. 14 PV voltage","End user",,0
,"05AC","Current_PV14","U16","0,01","A",,,"R","No. 14 PV current","End user",,0
,"05AD","Power_PV14","U16","0,01","kW",,,"R","No. 14 PV power","End user",,0
,"05AE","Voltage_PV15","U16","0,1","V",,,"R","15th PV voltage","End user",,0
,"05AF","Current_PV15","U16","0,01","A",,,"R","15th PV current","End user",,0
,"05B0","Power_PV15","U16","0,01","kW",,,"R","15th PV power","End user",,0
,"05B1","Voltage_PV16","U16","0,1","V",,,"R","16th PV voltage","End user",,0
,"05B2","Current_PV16","U16","0,01","A",,,"R","16th PV current","End user",,0
,"05B3","Power_PV16","U16","0,01","kW",,,"R","16th PV power","End user",,0
,"05B4",,,,,,,,,,,
,"05B5",,,,,,,,,,,
,"05B6",,,,,,,,,,,
,"05B7",,,,,,,,,,,
,"05B8",,,,,,,,,,,
,"05B9",,,,,,,,,,,
,"05BA",,,,,,,,,,,
,"05BB",,,,,,,,,,,
,"05BC",,,,,,,,,,,
,"05BD",,,,,,,,,,,
,"05BE",,,,,,,,,,,
,"05BF",,,,,,,,,,,
,"05C0","AddressMask_Realtime_Input_PV2","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid. ","End user","00000000","0000000F"
,"05C1",,,,,,,,,"End user",,
,"05C2",,,,,,,,,"End user",,
,"05C3",,,,,,,,,"End user",,
,"05C4","Power_PV_Total","U16","0,1","kW",,,"R","Total PV power",,,0
,"05C5",,,,,,,,,,,0
,"05C6",,,,,,,,,,,0
,"05C7",,,,,,,,,,,0
,"05C8",,,,,,,,,,,0
,"05C9",,,,,,,,,,,0
,"05CA",,,,,,,,,,,0
,"05CB",,,,,,,,,,,0
,"05CC",,,,,,,,,,,0
,"05CD",,,,,,,,,,,0
,"05CE",,,,,,,,,,,0
,"05CF",,,,,,,,,,,0
,"05D0",,,,,,,,,,,0
,"05D1",,,,,,,,,,,0
,"05D2",,,,,,,,,,,0
,"05D3",,,,,,,,,,,0
,"05D4",,,,,,,,,,,0
,"05D5",,,,,,,,,,,0
,"05D6",,,,,,,,,,,0
,"05D7",,,,,,,,,,,0
,"05D8",,,,,,,,,,,0
,"05D9",,,,,,,,,,,0
,"05DA",,,,,,,,,,,0
,"05DB",,,,,,,,,,,0
,"05DC",,,,,,,,,,,0
,"05DD",,,,,,,,,,,0
,"05DE",,,,,,,,,,,0
,"05DF",,,,,,,,,,,0
,"05E0",,,,,,,,,,,0
,"05E1",,,,,,,,,,,0
,"05E2",,,,,,,,,,,0
,"05E3",,,,,,,,,,,0
,"05E4",,,,,,,,,,,0
,"05E5",,,,,,,,,,,0
,"05E6",,,,,,,,,,,0
,"05E7",,,,,,,,,,,0
,"05E8",,,,,,,,,,,0
,"05E9",,,,,,,,,,,0
,"05EA",,,,,,,,,,,0
,"05EB",,,,,,,,,,,0
,"05EC",,,,,,,,,,,0
,"05ED",,,,,,,,,,,0
,"05EE",,,,,,,,,,,0
,"05EF",,,,,,,,,,,0
,"05F0",,,,,,,,,,,0
,"05F1",,,,,,,,,,,0
,"05F2",,,,,,,,,,,0
,"05F3",,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"battery input(0x0600-0x067F)",,,,,,,,,,,,
,"0600","AddressMask_Realtime_Input_Bat1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","End user","00000000","0003FFFF"
,"0601",,,,,,,,,"End user",,
,"0602",,,,,,,,,"End user",,
,"0603",,,,,,,,,"End user",,
,"0604","Voltage_Bat1","U16","0,1","V",,,"R","No. 1 battery pack voltage","End user",1,16
,"0605","Current_Bat1","I16","0,01","A",,,"R","The charging and discharging current of the first battery pack. Charge is positive, discharge is negative","End user",1,32
,"0606","Power_Bat1","I16","0,01","kW",,,"R","The charging and discharging power of the first battery pack. Charge is positive, discharge is negative","End user",1,64
,"0607","Temperature_Env_Bat1","I16",1,"°C",,,"R","Ambient temperature of the first battery pack","End user",1,128
,"0608","SOC_Bat1","U16",1,"%",,,"R","No. 1 battery pack SOC","End user",1,256
,"0609","SOH_Bat1","U16",1,"%",,,"R","No. 1 battery pack SOH","End user",1,512
,"060A","ChargeCycle_Bat1","U16",1,"cycle",,,"R","Number of cycles of the first battery pack","End user",1,1024
,"060B","Voltage_Bat2","U16","0,1","V",,,"R","No. 2 battery pack voltage","End user",1,2048
,"060C","Current_Bat2","I16","0,01","A",,,"R","The charging and discharging current of the second battery pack. Charge is positive, discharge is negative","End user",1,4096
,"060D","Power_Bat2","I16","0,01","kW",,,"R","The charging and discharging power of the second battery pack. Charge is positive, discharge is negative","End user",1,8192
,"060E","Temperature_Env_Bat2","I16",1,"°C",,,"R","Ambient temperature of the second battery pack","End user",1,16384
,"060F","SOC_Bat2","U16",1,"%",,,"R","2nd battery pack SOC","End user",1,32768
,"0610","SOH_Bat2","U16",1,"%",,,"R","2nd battery pack SOH","End user",1,65536
,"0611","ChargeCycle_Bat2","U16",1,"cycle",,,"R","Number of cycles of the second battery pack","End user",1,131072
,"0612","Voltage_Bat3","U16","0,1","V",,,"R","No. 3 battery pack voltage","End user",,0
,"0613","Current_Bat3","I16","0,01","A",,,"R","The charging and discharging current of the third battery pack. Charge is positive, discharge is negative","End user",,0
,"0614","Power_Bat3","I16","0,01","kW",,,"R","The charging and discharging power of the third battery pack. Charge is positive, discharge is negative","End user",,0
,"0615","Temperature_Env_Bat3","I16",1,"°C",,,"R","Ambient temperature of the third battery pack","End user",,0
,"0616","SOC_Bat3","U16",1,"%",,,"R","No. 3 battery pack SOC","End user",,0
,"0617","SOH_Bat3","U16",1,"%",,,"R","No. 3 battery pack SOH","End user",,0
,"0618","ChargeCycle_Bat3","U16",1,"cycle",,,"R","Number of cycles of the third battery pack","End user",,0
,"0619","Voltage_Bat4","U16","0,1","V",,,"R","No. 4 battery pack voltage","End user",,0
,"061A","Current_Bat4","I16","0,01","A",,,"R","Charging and discharging current of No. 4 battery pack. Charge is positive, discharge is negative","End user",,0
,"061B","Power_Bat4","I16","0,01","kW",,,"R","Charging and discharging power of the 4th battery pack. Charge is positive, discharge is negative","End user",,0
,"061C","Temperature_Env_Bat4","I16",1,"°C",,,"R","Ambient temperature of battery pack No. 4","End user",,0
,"061D","SOC_Bat4","U16",1,"%",,,"R","No. 4 battery pack SOC","End user",,0
,"061E","SOH_Bat4","U16",1,"%",,,"R","No. 4 battery pack SOH","End user",,0
,"061F","ChargeCycle_Bat4","U16",1,"cycle",,,"R","Number of cycles of the 4th battery pack","End user",,0
,"0620","Voltage_Bat5","U16","0,1","V",,,"R","No. 5 battery pack voltage","End user",,0
,"0621","Current_Bat5","I16","0,01","A",,,"R","No. 5 battery pack charging and discharging current. Charge is positive, discharge is negative","End user",,0
,"0622","Power_Bat5","I16","0,01","kW",,,"R","Charging and discharging power of No. 5 battery pack. Charge is positive, discharge is negative","End user",,0
,"0623","Temperature_Env_Bat5","I16",1,"°C",,,"R","Ambient temperature of battery pack No. 5","End user",,0
,"0624","SOC_Bat5","U16",1,"%",,,"R","No. 5 battery pack SOC","End user",,0
,"0625","SOH_Bat5","U16",1,"%",,,"R","No. 5 battery pack SOH","End user",,0
,"0626","ChargeCycle_Bat5","U16",1,"cycle",,,"R","Number of cycles of the 5th battery pack","End user",,0
,"0627","Voltage_Bat6","U16","0,1","V",,,"R","No. 6 battery pack voltage","End user",,0
,"0628","Current_Bat6","I16","0,01","A",,,"R","No. 6 battery pack charge and discharge current. Charge is positive, discharge is negative","End user",,0
,"0629","Power_Bat6","I16","0,01","kW",,,"R","Charging and discharging power of No. 6 battery pack. Charge is positive, discharge is negative","End user",,0
,"062A","Temperature_Env_Bat6","I16",1,"°C",,,"R","Ambient temperature of the 6th battery pack","End user",,0
,"062B","SOC_Bat6","U16",1,"%",,,"R","6th battery pack SOC","End user",,0
,"062C","SOH_Bat6","U16",1,"%",,,"R","No. 6 battery pack SOH","End user",,0
,"062D","ChargeCycle_Bat6","U16",1,"cycle",,,"R","Number of cycles of the 6th battery pack","End user",,0
,"062E","Voltage_Bat7","U16","0,1","V",,,"R","No. 7 battery pack voltage","End user",,0
,"062F","Current_Bat7","I16","0,01","A",,,"R","No. 7 battery pack charging and discharging current. Charge is positive, discharge is negative","End user",,0
,"0630","Power_Bat7","I16","0,01","kW",,,"R","Charging and discharging power of No. 7 battery pack. Charge is positive, discharge is negative","End user",,0
,"0631","Temperature_Env_Bat7","I16",1,"°C",,,"R","Ambient temperature of battery pack No. 7","End user",,0
,"0632","SOC_Bat7","U16",1,"%",,,"R","No. 7 battery pack SOC","End user",,0
,"0633","SOH_Bat7","U16",1,"%",,,"R","No. 7 battery pack SOH","End user",,0
,"0634","ChargeCycle_Bat7","U16",1,"cycle",,,"R","No. 7 battery pack cycle times","End user",,0
,"0635","Voltage_Bat8","U16","0,1","V",,,"R","No. 8 battery pack voltage","End user",,0
,"0636","Current_Bat8","I16","0,01","A",,,"R","Charging and discharging current of No. 8 battery pack. Charge is positive, discharge is negative","End user",,0
,"0637","Power_Bat8","I16","0,01","kW",,,"R","Charging and discharging power of No. 8 battery pack. Charge is positive, discharge is negative","End user",,0
,"0638","Temperature_Env_Bat8","I16",1,"°C",,,"R","Ambient temperature of the 8th battery pack","End user",,0
,"0639","SOC_Bat8","U16",1,"%",,,"R","No. 8 battery pack SOC","End user",,0
,"063A","SOH_Bat8","U16",1,"%",,,"R","No. 8 battery pack SOH","End user",,0
,"063B","ChargeCycle_Bat8","U16",1,"cycle",,,"R","Number of cycles of the 8th battery pack","End user",,0
,"063C",,,,,,,,,,,
,"063D",,,,,,,,,,,
,"063E",,,,,,,,,,,
,"063F",,,,,,,,,,,
,"0640","AddressMask_Realtime_Input_Bat2","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid.","End user","00000000","0000000F"
,"0641",,,,,,,,,"End user",,
,"0642",,,,,,,,,"End user",,
,"0643",,,,,,,,,"End user",,
,"0644","Voltage_Bat9","U16","0,1","V",,,"R","No. 9 battery pack voltage","End user",,0
,"0645","Current_Bat9","I16","0,01","A",,,"R","No. 9 battery pack charging and discharging current. Charge is positive, discharge is negative","End user",,0
,"0646","Power_Bat9","I16","0,01","kW",,,"R","The charging and discharging power of the 9th battery pack. Charge is positive, discharge is negative","End user",,0
,"0647","Temperature_Env_Bat9","I16",1,"°C",,,"R","Ambient temperature of the 9th battery pack","End user",,0
,"0648","SOC_Bat9","U16",1,"%",,,"R","No. 9 battery pack SOC","End user",,0
,"0649","SOH_Bat9","U16",1,"%",,,"R","No. 9 battery pack SOH","End user",,0
,"064A","ChargeCycle_Bat9","U16",1,"cycle",,,"R","Number of cycles of the 9th battery pack","End user",,0
,"064B","Voltage_Bat10","U16","0,1","V",,,"R","No. 10 battery pack voltage","End user",,0
,"064C","Current_Bat10","I16","0,01","A",,,"R","No. 10 battery pack charge and discharge current. Charge is positive, discharge is negative","End user",,0
,"064D","Power_Bat10","I16","0,01","kW",,,"R","Charging and discharging power of No. 10 battery pack. Charge is positive, discharge is negative","End user",,0
,"064E","Temperature_Env_Bat10","I16",1,"°C",,,"R","Ambient temperature of No. 10 battery pack","End user",,0
,"064F","SOC_Bat10","U16",1,"%",,,"R","No. 10 battery pack SOC","End user",,0
,"0650","SOH_Bat10","U16",1,"%",,,"R","No. 10 battery pack SOH","End user",,0
,"0651","ChargeCycle_Bat10","U16",1,"cycle",,,"R","Number of cycles of the 10th battery pack","End user",,0
,"0652","Voltage_Bat11","U16","0,1","V",,,"R","No. 11 battery pack voltage","End user",,0
,"0653","Current_Bat11","I16","0,01","A",,,"R","The charging and discharging current of No. 11 battery pack. Charge is positive, discharge is negative","End user",,0
,"0654","Power_Bat11","I16","0,01","kW",,,"R","Charging and discharging power of No. 11 battery pack. Charge is positive, discharge is negative","End user",,0
,"0655","Temperature_Env_Bat11","I16",1,"°C",,,"R","Ambient temperature of battery pack No. 11","End user",,0
,"0656","SOC_Bat11","U16",1,"%",,,"R","No. 11 battery pack SOC","End user",,0
,"0657","SOH_Bat11","U16",1,"%",,,"R","No. 11 battery pack SOH","End user",,0
,"0658","ChargeCycle_Bat11","U16",1,"cycle",,,"R","Number of cycles of the 11th battery pack","End user",,0
,"0659","Voltage_Bat12","U16","0,1","V",,,"R","No. 12 battery pack voltage","End user",,0
,"065A","Current_Bat12","I16","0,01","A",,,"R","Charging and discharging current of No. 12 battery pack. Charge is positive, discharge is negative","End user",,0
,"065B","Power_Bat12","I16","0,01","kW",,,"R","Charging and discharging power of No. 12 battery pack. Charge is positive, discharge is negative","End user",,0
,"065C","Temperature_Env_Bat12","I16",1,"°C",,,"R","Ambient temperature of the 12th battery pack","End user",,0
,"065D","SOC_Bat12","U16",1,"%",,,"R","No. 12 battery pack SOC","End user",,0
,"065E","SOH_Bat12","U16",1,"%",,,"R","No. 12 battery pack SOH","End user",,0
,"065F","ChargeCycle_Bat12","U16",1,"cycle",,,"R","Number of cycles of the 12th battery pack","End user",,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"power(0x0680-0x06BF)",,,,,,,,,,,,
,"0680","AddressMask_Realtime_ElectricityStatistics1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid.","End user","00000000","0FFFFFFF"
,"0681",,,,,,,,,"End user",,
,"0682",,,,,,,,,"End user",,
,"0683",,,,,,,,,"End user",,
,"0684","PV_Generation_Today","U32","0,01","kWh",,,"R","
Power generation of the day","End user",1,16
,"0685",,,,,,,,,"End user",1,32
,"0686","PV_Generation_Total","U32","0,1","kWh",,,"R","Total power generation time","End user",1,64
,"0687",,,,,,,,,"End user",1,128
,"0688","Load_Consumption_Today","U32","0,01","kWh",,,"R","Load power consumption of the day","End user",1,256
,"0689",,,,,,,,,"End user",1,512
,"068A","Load_Consumption_Total","U32","0,1","kWh",,,"R","Total load power consumption","End user",1,1024
